ResourceID,Analysis Color & Principal Mineralogical Composition,Analysis Compilation Date,Analysis Compiler,Analysis Crystal Orientation,Analysis MGS (mm),Analysis Microfabric,Analysis Name,Analysis Provenance Hypothesis,Analysis Sampling Date,Analysis Secondary Minerals & Accessories,Analysis Shape of Crystal's Borders,Analysis Texture,Cathodoluminescence Description,Identifier Content,Identifier Type,Isotopes Delta13C,Isotopes Delta18O,Luminescence Image,Luminescence Intensity,Luminescence Reference Image,Related Object,Related Object Withdrawal Point,Sliced Section Nicol incrociati,Sliced Section Nicol paralleli,TEMP SAMPLE
3f9b9c7f-ff12-1d9c-fb38-a6a9be1d2992,Bianco; Calcite,2016-10-10,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f88a8e35-f641-4354-9daf-f01b79403f78"", ""inverseOntologyProperty"": """"}]",presente,2.5,Eteroblastico,H13_006,"Thiounta,Marmar Tepe",2013-09-01,Gr: ++,"curvi, suturati","A mosaico, debolmente lineata, leggera deformazione delle geminazioni polisintetiche",Tessitura omogenea,Marmora,internal identifier,1.74,-3.37,,molto bassa,,"[{""resourceId"": ""8f05d745-97a5-75bc-0fd1-45dbf376ddfb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2cba5c31-4173-4ec8-bc2b-1a24c100a47f"", ""inverseOntologyProperty"": """"}]",,,,"[{""resourceId"": ""0ec91b99-ea74-dd36-c56a-ea3954a31d15"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8c3e01fe-c94d-4710-a28d-0a9a4a13a44b"", ""inverseOntologyProperty"": """"}]"
40ff6666-99cc-84ef-6d1d-44f81a5854b2,Bianco; Calcite,2016-02-20,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6c3ef022-cb5a-49a4-a1dd-a9e05643926b"", ""inverseOntologyProperty"": """"}]",presente,3.6,Eteroblastico,M5BIS_1,,2013-09-01,"Q: ±
Gr: +","curvi, rettilinei, golfi, suturati",Granoblastica,Tessitura omogenea,Marmora,internal identifier,2.13,-2.92,/files/uploadedfiles/crt_DSCN1185_M5BIS_1.JPG,molto bassa/bassa,/files/uploadedfiles/crt_DSCN1179_M5BIS_1.JPG,"[{""resourceId"": ""1346dc7a-3ae5-2e99-d293-43e1658c2827"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e5baae00-c5e5-4d82-bc9c-9eaa1ba8f02e"", ""inverseOntologyProperty"": """"}]",,/files/uploadedfiles/crt_DSCN1187_M5BIS_1.JPG,/files/uploadedfiles/crt_DSCN1181_M5BIS_1.JPG,"[{""resourceId"": ""8abc3f2a-02ef-0a8b-1389-f3bf7108ec8e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""903106be-4f8d-4988-ae9f-6a90828777b8"", ""inverseOntologyProperty"": """"}]"
413c650f-1924-8a63-1c1d-d2ff2366e98c,Bianco; Calcite,2016-10-10,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8572a8d6-c15b-4ecf-9bca-eadb09b26540"", ""inverseOntologyProperty"": """"}]",assente,2.8,Eteroblastico,H14_422,"Marmar Tepe,Thiounta",2014-09-01,,"curvi, suturati",A mosaico,Tessitura omogenea,Marmora,internal identifier,2.31,-2.61,/files/uploadedfiles/crt_DSCN1965_H14_422.JPG,molto bassa,,"[{""resourceId"": ""d57f1251-9d55-99ce-de6c-a183c9461e77"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fbf125e6-2efa-41d7-9141-4334296eb397"", ""inverseOntologyProperty"": """"}]",,/files/uploadedfiles/crt_DSCN1970_H14_422.JPG,/files/uploadedfiles/crt_DSCN1967_H14_422.JPG,"[{""resourceId"": ""e6024917-e39e-6833-3e4e-794b952f0031"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5dec7561-ee69-472e-993d-7ae818148dfb"", ""inverseOntologyProperty"": """"}]"
41449175-0566-7e31-05b5-775dd3615353,Bianco; Calcite,2016-10-18,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3507c2cc-a474-40d5-9e26-708247889190"", ""inverseOntologyProperty"": """"}]",assente,2.75,Eteroblastico,MTGRIGIO,"Marmar Tepe,Thiounta",2013-09-03,Gr: ++,"curvi, suturati","A mosaico, leggera deformazione delle geminazioni polisintetiche",,Marmora,internal identifier,1.69,-3.62,,,,,,,,"[{""resourceId"": ""760ee3a9-898d-043f-4333-e88aceea48ac"", ""ontologyProperty"": """", ""resourceXresourceId"": ""556af3e5-3c64-48fe-97f4-8ef24d371c37"", ""inverseOntologyProperty"": """"}]"
41bd962c-0492-2d32-d003-046c44503ca9,Bianco; Calcite,2016-10-18,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8b75bbf6-879d-417e-803b-4a8eea5122e6"", ""inverseOntologyProperty"": """"}]",assente,,,M1_4,,2013-09-01,,,,,Marmora,internal identifier,1.49,-3.4,/files/uploadedfiles/crt_DSCN2030_GM1_4.JPG,,/files/uploadedfiles/crt_DSCN2023_GM1_4.JPG,"[{""resourceId"": ""fd0e7de5-1ea8-fada-91ab-fcb38be50415"", ""ontologyProperty"": """", ""resourceXresourceId"": ""82fadb3a-80d6-4ff4-9b8f-01b9cd2575ef"", ""inverseOntologyProperty"": """"}]",,/files/uploadedfiles/crt_DSCN2032_GM1_4.JPG,/files/uploadedfiles/crt_DSCN2025_GM1_4.JPG,"[{""resourceId"": ""5a40ea77-9e4d-c8c4-0bd6-8b653e483a7a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8af06d1c-a67c-4cf9-a2a6-db7792def701"", ""inverseOntologyProperty"": """"}]"
41f965a1-c501-6a07-d0b8-c863a05163cb,Bianco; Calcite,2016-02-20,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9589379b-705e-4547-be03-2a47f305ef9e"", ""inverseOntologyProperty"": """"}]",,0.85,Omeoblastico,APH3_2,,2013-09-01,"Q: ±
Km: ±
Pl: +++","curvi, talvolta suturati
",A mosaico,Tessitura omogenea,Marmora,internal identifier,-0.04,-9.25,/files/uploadedfiles/crt_1108_APH3_2_2CL.jpg,molto bassa,/files/uploadedfiles/crt_1108_APH3_2_1CL.jpg,"[{""resourceId"": ""1f7738bb-c496-266f-c932-a8e70f223888"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e78b5290-a502-4aa3-906f-e525bd08c3a7"", ""inverseOntologyProperty"": """"}]",cava di marmo Aph3,/files/uploadedfiles/crt_1108_APH3_2_2NC.jpg,/files/uploadedfiles/crt_1108_APH3_2_1NC.jpg,"[{""resourceId"": ""11d7ab5e-86db-b94b-bfaa-803c837811e7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6d9daefc-0877-49f6-a21b-a797c7f21b88"", ""inverseOntologyProperty"": """"}]"
42839450-ab9f-74ba-d708-4f4801de07cb,Bianco; Calcite,2016-02-20,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1cc916f6-a641-40d9-9acc-a3297593d948"", ""inverseOntologyProperty"": """"}]",,,,A11,,2005-08-29,,,,,Marmora,internal identifier,2.44,-1.85,/files/uploadedfiles/crt_A11.jpg,,,"[{""resourceId"": ""89d9d04a-1440-00d0-9405-dccaefa9ec31"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e631b6e8-0553-42bc-a40d-5142664079c6"", ""inverseOntologyProperty"": """"}]",,/files/uploadedfiles/crt_DSCN3493_A11.JPG,/files/uploadedfiles/crt_DSCN3491_A11.JPG,"[{""resourceId"": ""0b8d85be-1900-c3f8-58fc-add8c308ab77"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2e748395-fb60-497d-8328-831e2712aef9"", ""inverseOntologyProperty"": """"}]"
429661fc-7038-2b3d-fc06-c21150c9c04a,Bianco; Calcite,2016-04-14,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""baa29354-a073-4bfb-a3a4-a89282c830fb"", ""inverseOntologyProperty"": """"}]",,,,APH3_9,,2013-09-01,,,,,Marmora,internal identifier,0.51,-2.26,,,,"[{""resourceId"": ""1f7738bb-c496-266f-c932-a8e70f223888"", ""ontologyProperty"": """", ""resourceXresourceId"": ""cffc688f-8f43-4ce2-9164-8864f4ce3ba1"", ""inverseOntologyProperty"": """"}]",cava di marmo Aph3,,,"[{""resourceId"": ""2977da69-2321-dc61-e748-41f3b99dd1fd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7f9befc3-8e82-463c-b4a5-204188a792b8"", ""inverseOntologyProperty"": """"}]"
42aea1fa-965c-8cca-06e6-eac8e9c15854,Bianco/grigio; Calcite,2016-10-18,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a4fb7e34-7453-4f5f-87ff-d8d02033df33"", ""inverseOntologyProperty"": """"}]",presente,2.7,Eteroblastico,D3_A_6,Hierapolis–Gök Dere,2013-09-09,Pl: ±,"curvi, talvolta suturati
","A mosaico, debolmente lineata, leggera deformazione delle geminazioni polisintetiche",Tessitura omogenea,Marmora,internal identifier,-0.94,-7.64,,bassa/media,,"[{""resourceId"": ""67effcdc-237f-168a-34ae-4b0edb2a5b2e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fe3397a3-e7b9-4090-9938-00a9e867e41a"", ""inverseOntologyProperty"": """"}]",,,,"[{""resourceId"": ""44eb3e30-4049-92c7-25f0-55b67c08184c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ab6eadd0-db9b-413f-8b13-a8a6b57b99b9"", ""inverseOntologyProperty"": """"}]"
43355edb-3efa-7a8f-25b2-b438b9e448db,Bianco; Calcite,2016-10-18,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6a4cccf0-291c-4a23-9236-65e34a74e59f"", ""inverseOntologyProperty"": """"}]",,2.15,Omeoblastico,D3_A_2,Hierapolis–Gök Dere,2013-09-09,Pl: ++,"rettilinei, curvi","A mosaico, matrice microcristallina tra i bordi dei cristalli, alcuni tripli giunti","Tessitura eterogenea, a macchie",Marmora,internal identifier,2.62,-7.38,/files/uploadedfiles/crt_DSCN1377_D3_A_2.JPG,bassa/media/alta,/files/uploadedfiles/crt_DSCN1374_D3_A_2.JPG,"[{""resourceId"": ""67effcdc-237f-168a-34ae-4b0edb2a5b2e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""667f6941-b4df-4b44-b48a-a63ce0ae5dc6"", ""inverseOntologyProperty"": """"}]",,/files/uploadedfiles/crt_DSCN1379_D3_A_2.JPG,/files/uploadedfiles/crt_DSCN1376_D3_A_2.JPG,"[{""resourceId"": ""b0afd800-e144-b9b6-3d43-bdae1c04a462"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e6350bb8-990e-4f56-b4c4-11279b90aff8"", ""inverseOntologyProperty"": """"}]"
43557a4d-4c2a-7165-07cc-90fc17aee26f,Bianco; Calcite,2016-02-20,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3790719e-c945-49d9-b0a1-70ca6b3bf59c"", ""inverseOntologyProperty"": """"}]",presente,,,M5BIS_5,,2013-09-01,,,,,Marmora,internal identifier,2.38,-2.85,,,,"[{""resourceId"": ""1346dc7a-3ae5-2e99-d293-43e1658c2827"", ""ontologyProperty"": """", ""resourceXresourceId"": ""77a30770-616a-4891-a4d3-69f18d20a105"", ""inverseOntologyProperty"": """"}]",,,,"[{""resourceId"": ""1c70dcee-485e-9b87-43be-d6865e091038"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4d211ce7-2c71-4521-9614-9304e9899aea"", ""inverseOntologyProperty"": """"}]"
