ResourceID,created_carried out by,created_caused by,created_during,created_identifier_content,created_identifier_label,created_identifier_source,created_identifier_type,created_influence,created_label,created_location,created_name_content,created_name_label,created_name_language,created_name_source,created_name_type,created_source,created_Statement_content,created_Statement_label,created_Statement_language,created_Statement_name_content,created_Statement_name_label,created_Statement_name_language,created_Statement_name_source,created_Statement_name_type,created_Statement_source,created_Statement_type,created_time_begin of the begin,created_time_begin of the end,created_time_duration_highest possible value,created_time_duration_label,created_time_duration_lowest possible value,created_time_duration_Name_content,created_time_duration_Name_label,created_time_duration_Name_language,created_time_duration_Name_source,created_time_duration_Name_type,created_time_duration_source,created_time_duration_type,created_time_duration_unit,created_time_duration_value,created_time_end of the begin,created_time_end of the end,created_time_label,created_time_name_content,created_time_name_label,created_time_name_language,created_time_name_source,created_time_name_type,created_time_type,created_type,Curation_carried out by,Curation_during,Curation_Identifier_content,Curation_Identifier_label,Curation_Identifier_source,Curation_Identifier_type,Curation_influence,Curation_label,Curation_location,Curation_name_content,Curation_name_label,Curation_name_language,Curation_name_source,Curation_name_type,Curation_source,Curation_Statement_content,Curation_Statement_label,Curation_Statement_language,Curation_Statement_name_content,Curation_Statement_name_label,Curation_Statement_name_language,Curation_Statement_name_source,Curation_Statement_name_type,Curation_Statement_source,Curation_Statement_type,Curation_technique,Curation_time_begin of the begin,Curation_time_begin of the end,Curation_time_duration_highest possible value,Curation_time_duration_label,Curation_time_duration_lowest possible value,Curation_time_duration_Name_content,Curation_time_duration_Name_label,Curation_time_duration_Name_language,Curation_time_duration_Name_source,Curation_time_duration_Name_type,Curation_time_duration_source,Curation_time_duration_type,Curation_time_duration_unit,Curation_time_duration_value,Curation_time_end of the begin,Curation_time_end of the end,Curation_time_label,Curation_time_name_content,Curation_time_name_label,Curation_time_name_language,Curation_time_name_source,Curation_time_name_type,Curation_time_type,Curation_type,Curation_used object,Digital Reference Type,Digital Source,Identifier_content,Identifier_label,Identifier_source,Identifier_type,_label,Name_content,Name_label,Name_language,Name_source,Name_type,Statement_content,Statement_creation_carried out by,Statement_creation_digital reference,Statement_creation_textual reference,Statement_creation_time_begin of the begin,Statement_creation_time_begin of the end,Statement_creation_time_end of the begin,Statement_creation_time_end of the end,Statement_creation_time_label,Statement_creation_time_type,Statement_label,Statement_language,Statement_name_content,Statement_name_label,Statement_name_language,Statement_name_source,Statement_name_type,Statement_type,Textual Reference Type,Textual Source,type,Used In
4cf24b33-6421-4ed5-80a2-844b76238b6e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marmora,,,Internal Identifier,,Fronte di cava,,Italian (language),,,"<p>Collezione di tutti i fronti di cava; Marmora Phrygiae</p>
",,,,,,,,,,,Italian (language),,,,,,"brief text,description",,,collections (object groupings),"[{""resourceId"": ""b4b2fc17-5a71-4b47-b84f-27fba7f63eb1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""54b7e6e8-d557-4fd4-8321-d71e7a3c41be"", ""inverseOntologyProperty"": """"}]"
631b552d-b995-4229-abe1-eca50688f367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marmora,,,Internal Identifier,,Monumenti,,Italian (language),,,"<p>Collezione di tutti i monumenti; Marmora Phrygiae</p>
",,,,,,,,,,,Italian (language),,,,,,"brief text,description",,,collections (object groupings),"[{""resourceId"": ""b4b2fc17-5a71-4b47-b84f-27fba7f63eb1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3b923f5b-bc8d-4e23-881b-69430e0ec2c7"", ""inverseOntologyProperty"": """"}]"
